order_id,order_date,region,category,product,channel,customer_age_group,quantity,unit_price,amount,is_returned
ORD20250065,2025-06-10,华北,图书文娱,《三体》全集,天猫,46+,1,143.19,143.19,0
ORD20250066,2026-04-10,华东,美妆个护,SK-II 神仙水,拼多多,26-35,3,45.34,136.02,0
ORD20250067,2025-03-15,西南,食品生鲜,五常大米,抖音,36-45,2,133.05,266.1,0
ORD20250068,2026-05-21,华北,美妆个护,SK-II 神仙水,抖音,36-45,3,358.87,1076.61,1
ORD20250069,2025-06-29,华北,家用电器,戴森吸尘器,天猫,46+,5,4820.85,24104.25,0
ORD20250070,2026-02-23,华北,美妆个护,兰蔻小黑瓶,京东,46+,1,250.9,250.9,0
ORD20250071,2025-04-01,,美妆个护,SK-II 神仙水,拼多多,18-25,5,47.25,236.25,0
ORD20250072,2025-02-22,华北,食品生鲜,阳澄湖大闸蟹,京东,46+,4,88.52,354.08,0
ORD20250073,2025-06-12,华东,图书文娱,switch 游戏卡带,天猫,18-25,5,123.91,619.55,0
ORD20250074,2025-10-07,华南,手机数码,OPPO Find X9,天猫,26-35,2,6381.81,12763.62,0
ORD20250075,2026-03-01,西南,食品生鲜,阳澄湖大闸蟹,拼多多,36-45,5,151.8,759.0,0
ORD20250076,2025-12-20,西南,食品生鲜,阳澄湖大闸蟹,京东,36-45,5,199.79,998.95,0
ORD20250077,2026-02-25,西南,图书文娱,儿童绘本套装,线下门店,46+,2,94.33,188.66,0
ORD20250078,2025-02-07,华中,图书文娱,switch 游戏卡带,拼多多,46+,2,84.39,168.78,0
ORD20250079,2025-06-08,西南,美妆个护,SK-II 神仙水,京东,46+,1,369.55,369.55,0
ORD20250080,2025-11-21,东北,服饰鞋包,耐克跑鞋,拼多多,18-25,5,335.01,1675.05,0
ORD20250081,2025-11-03,华东,家用电器,美的空调,天猫,36-45,3,7980.18,23940.54,0
ORD20250082,2025-07-04,华东,家用电器,小米电视,抖音,26-35,5,3472.8,17364.0,0
ORD20250083,2026-07-14,华南,食品生鲜,阳澄湖大闸蟹,线下门店,36-45,2,54.12,108.24,0
ORD20250084,2025-11-06,华南,美妆个护,SK-II 神仙水,天猫,46+,3,244.71,734.13,0
ORD20250085,2025-10-30,东北,食品生鲜,阳澄湖大闸蟹,天猫,18-25,3,198.61,595.83,0
ORD20250086,2025-12-27,华东,图书文娱,switch 游戏卡带,抖音,26-35,4,128.27,513.08,0
ORD20250087,2026-03-28,华南,图书文娱,《三体》全集,天猫,36-45,1,60.16,60.16,0
ORD20250088,2026-01-10,华中,美妆个护,兰蔻小黑瓶,天猫,46+,2,124.37,248.74,0
ORD20250089,2026-07-25,西南,服饰鞋包,优衣库卫衣,天猫,18-25,3,653.17,1959.51,0
ORD20250090,2026-01-16,华东,图书文娱,《三体》全集,抖音,36-45,3,95.99,287.97,0
ORD20250091,2025-11-06,华东,家用电器,美的空调,线下门店,36-45,1,5192.61,5192.61,0
ORD20250092,2026-07-05,华南,手机数码,OPPO Find X9,抖音,26-35,1,3429.76,3429.76,0
ORD20250093,2025-10-14,华南,图书文娱,switch 游戏卡带,京东,26-35,1,128.38,128.38,0
ORD20250094,2026-01-03,华东,手机数码,iPhone 17 Pro,线下门店,46+,3,6898.02,20694.06,0
ORD20250095,2025-07-30,西南,家用电器,海尔冰箱,抖音,26-35,5,7777.42,38887.1,0
ORD20250096,2026-07-08,华东,家用电器,美的空调,天猫,36-45,-1,321.83,1609.15,0
ORD20250097,2025-06-28,华东,家用电器,小米电视,京东,18-25,5,2793.04,13965.2,0
ORD20250098,2026-06-18,华北,服饰鞋包,优衣库卫衣,天猫,46+,5,495.25,2476.25,0
ORD20250099,2026-03-31,华东,美妆个护,完美日记口红,天猫,26-35,1,260.43,260.43,0
ORD20250100,2025-11-29,华北,图书文娱,switch 游戏卡带,京东,46+,5,91.29,456.45,0
ORD20250101,2025-08-22,东北,图书文娱,switch 游戏卡带,京东,18-25,1,130.86,130.86,0
ORD20250102,2026-05-01,东北,服饰鞋包,优衣库卫衣,京东,36-45,3,330.73,992.19,0
ORD20250103,2025-11-16,华北,食品生鲜,三只松鼠坚果,天猫,46+,1,121.43,121.43,0
ORD20250104,2026-01-12,华东,手机数码,华为 Mate 80,拼多多,18-25,3,10268.18,30804.54,0
ORD20250105,2025-11-13,华南,图书文娱,《三体》全集,拼多多,46+,3,23.76,71.28,0
ORD20250106,2026-06-28,华南,图书文娱,switch 游戏卡带,天猫,36-45,1,31.93,31.93,0
ORD20250107,2025-02-23,西南,食品生鲜,三只松鼠坚果,抖音,36-45,5,26.14,130.7,0
ORD20250108,2026-03-01,西南,美妆个护,兰蔻小黑瓶,京东,18-25,4,315.33,1261.32,0
ORD20250109,2025-11-12,华南,图书文娱,儿童绘本套装,天猫,26-35,5,83.26,416.3,0
ORD20250110,2025-10-24,华东,家用电器,小米电视,天猫,46+,2,6184.04,12368.08,0
ORD20250111,2025-12-29,东北,家用电器,美的空调,京东,46+,5,4602.17,23010.85,0
ORD20250112,2026-03-04,华南,服饰鞋包,耐克跑鞋,天猫,46+,5,371.96,1859.8,0
ORD20250113,2025-04-19,华北,服饰鞋包,李宁羽绒服,天猫,36-45,1,377.53,377.53,0
ORD20250114,2025-13-01,华中,家用电器,海尔冰箱,天猫,26-35,3,6299.21,18897.63,0
ORD20250115,2025-03-19,西南,家用电器,小米电视,京东,46+,5,1477.1,7385.5,0
ORD20250116,2025-11-20,华东,食品生鲜,阳澄湖大闸蟹,抖音,36-45,5,71.41,357.05,0
ORD20250117,2026-04-18,华东,服饰鞋包,耐克跑鞋,天猫,18-25,5,105.64,528.2,0
ORD20250118,2025-07-12,华南,食品生鲜,三只松鼠坚果,线下门店,46+,4,97.92,391.68,0
ORD20250119,2025-06-26,西南,服饰鞋包,耐克跑鞋,京东,26-35,1,428.41,,0
ORD20250120,2025-12-09,华东,服饰鞋包,李宁羽绒服,京东,36-45,4,356.58,1426.32,0
ORD20250121,2025-12-08,华北,图书文娱,switch 游戏卡带,京东,46+,5,133.53,667.65,0
ORD20250122,2026-06-24,华北,图书文娱,儿童绘本套装,京东,36-45,1,60.25,60.25,0
ORD20250123,2026-05-13,华中,家用电器,海尔冰箱,天猫,18-25,3,7597.05,22791.15,0
ORD20250124,2025-06-07,东北,食品生鲜,五常大米,拼多多,26-35,5,17.17,85.85,0
ORD20250125,2026-04-05,华东,手机数码,OPPO Find X9,线下门店,26-35,4,4880.15,19520.6,0
ORD20250126,2026-01-16,华东,食品生鲜,五常大米,拼多多,36-45,4,97.72,390.88,0
ORD20250127,2026-06-10,华南,家用电器,海尔冰箱,拼多多,36-45,3,3759.76,11279.28,0
ORD20250128,2026-01-18,华中,美妆个护,SK-II 神仙水,天猫,36-45,1,216.33,216.33,0
ORD20250129,2025-05-21,华中,图书文娱,switch 游戏卡带,抖音,26-35,3,122.88,368.64,0
ORD20250130,2025-03-23,华东,美妆个护,兰蔻小黑瓶,京东,46+,4,319.21,1276.84,0
ORD20250131,2025-02-18,华北,服饰鞋包,李宁羽绒服,京东,18-25,2,275.86,551.72,0
ORD20250132,2026-06-12,西南,美妆个护,SK-II 神仙水,京东,36-45,5,281.95,1409.75,0
ORD20250133,2026-01-05,华北,美妆个护,完美日记口红,拼多多,18-25,2,342.25,684.5,0
ORD20250134,2026-01-18,华东,美妆个护,兰蔻小黑瓶,京东,18-25,1,328.77,328.77,0
ORD20250135,2025-12-27,东北,图书文娱,《三体》全集,拼多多,46+,3,37.34,112.02,0
ORD20250136,2026-04-14,华东,美妆个护,兰蔻小黑瓶,拼多多,36-45,2,411.4,822.8,0
ORD20250137,2026-07-11,华东,食品生鲜,五常大米,天猫,36-45,4,197.93,791.72,0
ORD20250138,2026-01-12,华南,手机数码,OPPO Find X9,拼多多,46+,3,3860.03,11580.09,0
ORD20250139,2026-06-16,华东,家用电器,小米电视,天猫,26-35,4,5628.93,22515.72,0
ORD20250140,2025-10-30,华北,服饰鞋包,耐克跑鞋,天猫,46+,1,110.05,110.05,0
ORD20250141,2026-03-22,华中,手机数码,iPhone 17 Pro,天猫,46+,3,7686.34,23059.02,0
ORD20250142,2026-03-25,华东,图书文娱,儿童绘本套装,京东,46+,2,143.86,287.72,0
ORD20250143,2026-01-16,华东,手机数码,华为 Mate 80,京东,46+,5,2518.51,12592.55,0
ORD20250144,2026-07-30,西南,服饰鞋包,李宁羽绒服,京东,36-45,2,770.39,1540.78,0
ORD20250145,2025-11-24,西南,美妆个护,完美日记口红,京东,36-45,2,87.64,175.28,0
ORD20250146,2026-06-05,华中,图书文娱,《三体》全集,天猫,46+,2,123.18,246.36,1
ORD20250147,2026-07-19,东北,食品生鲜,三只松鼠坚果,京东,46+,5,80.09,400.45,0
ORD20250148,2025-11-21,华南,美妆个护,完美日记口红,京东,26-35,5,64.66,323.3,0
ORD20250149,2026-06-15,华东,食品生鲜,阳澄湖大闸蟹,线下门店,26-35,5,44.57,222.85,0
ORD20250150,2025-09-14,华中,食品生鲜,阳澄湖大闸蟹,天猫,36-45,3,170.73,512.19,0
ORD20250151,2025-06-07,华北,手机数码,小米 16,拼多多,18-25,5,7979.06,39895.3,0
ORD20250152,2026-07-13,华中,手机数码,OPPO Find X9,天猫,46+,1,1309.17,1309.17,0
ORD20250153,2025-07-28,华东,手机数码,小米 16,抖音,36-45,1,2570.5,2570.5,0
ORD20250154,2025-04-19,华南,家用电器,戴森吸尘器,京东,26-35,3,4265.35,12796.05,0
ORD20250155,2026-03-05,东北,服饰鞋包,优衣库卫衣,拼多多,36-45,4,698.12,2792.48,0
ORD20250156,2025-11-12,华东,家用电器,小米电视,京东,26-35,4,7968.96,31875.84,0
ORD20250157,2026-04-27,华东,服饰鞋包,优衣库卫衣,京东,36-45,1,87.91,87.91,0
ORD20250158,2025-13-01,华南,美妆个护,SK-II 神仙水,京东,36-45,3,51.26,153.78,0
ORD20250159,2025-04-10,西南,食品生鲜,阳澄湖大闸蟹,抖音,36-45,5,32.57,162.85,0
ORD20250160,2026-05-28,华东,家用电器,戴森吸尘器,拼多多,46+,5,4220.24,21101.2,0
ORD20250161,2025-11-23,华中,食品生鲜,五常大米,拼多多,36-45,2,72.31,144.62,0
ORD20250162,2026-07-31,东北,食品生鲜,阳澄湖大闸蟹,京东,18-25,5,103.07,515.35,0
ORD20250163,2026-05-07,华北,食品生鲜,五常大米,拼多多,46+,3,161.38,484.14,0
ORD20250164,2025-04-23,华南,图书文娱,switch 游戏卡带,天猫,26-35,2,24.1,48.2,0
ORD20250165,2026-06-16,华南,食品生鲜,五常大米,京东,46+,4,175.84,703.36,0
ORD20250166,2025-12-17,华北,家用电器,戴森吸尘器,抖音,26-35,4,7323.36,29293.44,0
ORD20250167,2025-11-01,西南,服饰鞋包,李宁羽绒服,抖音,36-45,5,273.87,1369.35,0
ORD20250168,2026-07-11,华中,食品生鲜,阳澄湖大闸蟹,线下门店,26-35,3,64.68,194.04,0
ORD20250169,2026-05-06,东北,服饰鞋包,耐克跑鞋,线下门店,36-45,1,309.77,309.77,0
ORD20250170,2026-06-28,华东,食品生鲜,三只松鼠坚果,京东,46+,5,55.46,277.3,0
ORD20250171,2025-06-11,华中,家用电器,小米电视,京东,26-35,1,7726.79,7726.79,0
ORD20250172,2025-06-29,东北,服饰鞋包,优衣库卫衣,线下门店,46+,3,264.06,792.18,0
ORD20250173,2025-01-10,华北,家用电器,戴森吸尘器,天猫,46+,3,7050.92,21152.76,0
ORD20250174,2025-12-05,华南,家用电器,戴森吸尘器,抖音,18-25,5,3903.76,19518.8,0
ORD20250175,2025-07-17,,服饰鞋包,耐克跑鞋,拼多多,36-45,5,555.8,2779.0,0
ORD20250176,2025-09-12,华南,图书文娱,switch 游戏卡带,拼多多,36-45,1,44.02,44.02,0
ORD20250177,2026-04-22,华南,图书文娱,儿童绘本套装,线下门店,36-45,5,21.49,107.45,0
ORD20250178,2025-08-15,华东,图书文娱,《三体》全集,京东,36-45,3,67.78,203.34,0
ORD20250179,2026-06-25,华东,食品生鲜,五常大米,天猫,26-35,4,153.9,615.6,0
ORD20250180,2026-06-17,西南,家用电器,小米电视,天猫,46+,2,2826.51,5653.02,0
ORD20250181,2026-07-27,西南,美妆个护,完美日记口红,天猫,36-45,2,271.23,542.46,0
ORD20250182,2026-04-29,华南,图书文娱,《三体》全集,拼多多,46+,2,95.18,190.36,0
ORD20250183,2026-01-22,西南,美妆个护,完美日记口红,拼多多,26-35,4,438.72,1754.88,0
ORD20250184,2026-07-05,华东,服饰鞋包,优衣库卫衣,拼多多,18-25,1,183.86,183.86,0
ORD20250185,2025-06-08,华中,美妆个护,完美日记口红,拼多多,18-25,5,229.34,1146.7,0
ORD20250186,2025-01-17,华东,美妆个护,完美日记口红,天猫,18-25,5,390.05,1950.25,0
ORD20250187,2026-07-07,东北,手机数码,iPhone 17 Pro,天猫,36-45,4,5716.38,22865.52,0
ORD20250188,2025-11-25,东北,图书文娱,儿童绘本套装,京东,46+,5,61.46,307.3,0
ORD20250189,2025-06-29,华南,手机数码,OPPO Find X9,天猫,36-45,5,11423.43,57117.15,0
ORD20250190,2025-11-23,华南,图书文娱,switch 游戏卡带,京东,46+,4,122.15,488.6,0
ORD20250191,2025-05-18,华东,家用电器,戴森吸尘器,抖音,46+,3,6903.07,20709.21,0
ORD20250192,2025-07-15,华南,手机数码,iPhone 17 Pro,拼多多,26-35,5,8915.35,44576.75,0
ORD20250193,2025-12-07,华中,食品生鲜,三只松鼠坚果,线下门店,18-25,5,51.23,256.15,0
ORD20250194,2025-07-29,华东,美妆个护,SK-II 神仙水,拼多多,46+,2,356.94,713.88,0
ORD20250195,2026-01-04,华南,图书文娱,《三体》全集,拼多多,46+,3,60.09,180.27,0
ORD20250196,2026-02-28,东北,服饰鞋包,李宁羽绒服,天猫,36-45,2,328.03,656.06,0
ORD20250197,2025-10-30,华南,食品生鲜,阳澄湖大闸蟹,抖音,26-35,5,146.8,734.0,0
ORD20250198,2026-05-18,西南,图书文娱,switch 游戏卡带,天猫,46+,3,53.45,,0
ORD20250199,2026-02-27,华北,食品生鲜,三只松鼠坚果,抖音,18-25,1,109.55,109.55,0
ORD20250200,2025-01-17,华北,美妆个护,兰蔻小黑瓶,天猫,36-45,3,58.41,175.23,0
ORD20250201,2025-07-03,华东,服饰鞋包,优衣库卫衣,天猫,36-45,1,426.66,426.66,0
ORD20250202,2026-02-20,华东,服饰鞋包,李宁羽绒服,天猫,18-25,4,109.26,437.04,0
ORD20250203,2026-01-24,华南,图书文娱,儿童绘本套装,天猫,26-35,1,32.16,32.16,0
ORD20250204,2025-02-13,华中,美妆个护,完美日记口红,拼多多,46+,3,295.95,887.85,0
ORD20250205,2025-02-03,东北,手机数码,iPhone 17 Pro,线下门店,26-35,3,10872.29,32616.87,0
ORD20250206,2025-11-03,华东,图书文娱,switch 游戏卡带,抖音,36-45,4,140.75,563.0,0
ORD20250207,2025-12-21,华南,图书文娱,《三体》全集,京东,46+,2,122.76,245.52,0
ORD20250208,2025-12-31,华南,服饰鞋包,优衣库卫衣,抖音,46+,1,525.59,525.59,0
ORD20250209,2025-03-17,华东,食品生鲜,五常大米,拼多多,26-35,3,161.63,484.89,0
ORD20250210,2026-04-01,华东,服饰鞋包,优衣库卫衣,天猫,46+,3,129.91,389.73,0
ORD20250211,2025-01-27,华北,食品生鲜,五常大米,抖音,36-45,5,87.53,437.65,0
ORD20250212,2025-06-23,华南,手机数码,OPPO Find X9,天猫,26-35,3,5434.67,16304.01,0
ORD20250213,2025-03-20,华中,美妆个护,完美日记口红,抖音,26-35,3,257.59,772.77,0
ORD20250214,2026-02-10,华北,家用电器,戴森吸尘器,京东,46+,3,352.11,1056.33,0
ORD20250215,2025-11-25,西南,图书文娱,switch 游戏卡带,京东,46+,5,37.7,188.5,0
ORD20250216,2025-09-06,华南,服饰鞋包,耐克跑鞋,京东,26-35,4,775.82,3103.28,0
ORD20250217,2026-07-18,西南,食品生鲜,五常大米,天猫,36-45,2,139.53,279.06,0
ORD20250218,2025-09-05,华东,手机数码,OPPO Find X9,拼多多,18-25,4,8337.35,33349.4,0
ORD20250219,2026-07-02,华中,食品生鲜,五常大米,京东,18-25,4,120.63,482.52,0
ORD20250220,2025-03-29,华东,服饰鞋包,李宁羽绒服,京东,18-25,5,495.36,2476.8,0
ORD20250221,2026-03-17,华东,图书文娱,《三体》全集,京东,26-35,4,145.69,582.76,0
ORD20250222,2026-05-28,华中,美妆个护,SK-II 神仙水,天猫,46+,4,393.0,1572.0,0
ORD20250223,2025-05-26,华南,手机数码,华为 Mate 80,京东,36-45,1,10110.76,10110.76,0
ORD20250224,2025-11-04,西南,美妆个护,兰蔻小黑瓶,拼多多,18-25,4,179.89,719.56,0
ORD20250225,2026-07-20,华北,家用电器,小米电视,天猫,46+,2,4273.15,8546.3,0
ORD20250226,2026-03-16,西南,家用电器,海尔冰箱,天猫,18-25,4,3345.98,13383.92,0
ORD20250227,2025-11-17,华北,食品生鲜,五常大米,天猫,36-45,2,79.5,159.0,0
ORD20250228,2025-11-01,华北,食品生鲜,五常大米,天猫,18-25,2,164.61,329.22,0
ORD20250229,2026-01-28,华南,手机数码,华为 Mate 80,抖音,46+,2,4981.03,9962.06,0
ORD20250230,2026-07-30,华南,家用电器,小米电视,京东,46+,3,6783.29,20349.87,0
ORD20250231,2025-08-14,华东,手机数码,小米 16,天猫,46+,5,1145.64,5728.2,0
ORD20250232,2025-04-27,华北,美妆个护,SK-II 神仙水,京东,18-25,5,270.08,1350.4,0
ORD20250233,2026-03-12,东北,美妆个护,兰蔻小黑瓶,天猫,18-25,5,132.71,663.55,0
ORD20250234,2025-08-31,西南,服饰鞋包,李宁羽绒服,京东,46+,1,379.3,379.3,0
ORD20250235,2026-06-30,华北,家用电器,戴森吸尘器,线下门店,36-45,2,6564.18,13128.36,0
ORD20250236,2025-04-08,西南,服饰鞋包,耐克跑鞋,线下门店,36-45,5,789.12,3945.6,0
ORD20250237,2025-11-26,西南,家用电器,小米电视,京东,36-45,2,2222.51,4445.02,0
ORD20250238,2026-01-13,华南,美妆个护,完美日记口红,天猫,18-25,4,65.49,261.96,0
ORD20250239,2026-07-02,华中,美妆个护,兰蔻小黑瓶,京东,36-45,3,429.55,1288.65,0
ORD20250240,2025-02-19,华北,服饰鞋包,耐克跑鞋,天猫,26-35,5,483.45,2417.25,0
ORD20250241,2025-11-06,华中,手机数码,小米 16,天猫,36-45,4,3065.96,12263.84,0
ORD20250242,2025-11-09,西南,服饰鞋包,耐克跑鞋,抖音,18-25,2,88.84,177.68,1
ORD20250243,2026-04-01,西南,美妆个护,兰蔻小黑瓶,线下门店,46+,1,92.37,92.37,0
ORD20250244,2025-04-15,华南,美妆个护,SK-II 神仙水,天猫,26-35,1,137.61,137.61,0
ORD20250245,2026-07-31,华北,图书文娱,switch 游戏卡带,京东,26-35,2,28.89,57.78,0
ORD20250246,2026-01-29,华南,家用电器,海尔冰箱,天猫,18-25,4,5043.79,20175.16,0
ORD20250247,2025-11-05,华北,食品生鲜,三只松鼠坚果,抖音,36-45,5,147.02,735.1,0
ORD20250248,2025-11-21,东北,家用电器,小米电视,京东,26-35,4,3271.32,13085.28,0
ORD20250249,2025-01-15,华东,手机数码,iPhone 17 Pro,线下门店,46+,1,7378.47,7378.47,0
ORD20250250,2025-10-12,华东,图书文娱,《三体》全集,线下门店,26-35,5,119.72,598.6,0
ORD20250251,2025-03-09,华南,美妆个护,兰蔻小黑瓶,天猫,18-25,5,328.12,1640.6,0
ORD20250252,2025-02-26,,手机数码,华为 Mate 80,天猫,26-35,4,7657.72,30630.88,0
ORD20250253,2026-06-20,东北,家用电器,戴森吸尘器,天猫,26-35,4,7638.22,30552.88,0
ORD20250254,2025-01-31,华南,服饰鞋包,李宁羽绒服,天猫,18-25,1,628.57,628.57,0
ORD20250255,2025-06-20,华东,食品生鲜,三只松鼠坚果,拼多多,18-25,3,20.53,61.59,0
ORD20250256,2025-01-13,华南,食品生鲜,阳澄湖大闸蟹,线下门店,26-35,1,18.37,18.37,0
ORD20250257,2026-03-06,华东,手机数码,小米 16,天猫,18-25,5,9794.89,48974.45,0
ORD20250258,2025-02-23,西南,手机数码,iPhone 17 Pro,线下门店,18-25,5,8341.25,41706.25,0
ORD20250259,2026-07-21,华南,服饰鞋包,耐克跑鞋,抖音,36-45,3,295.48,886.44,0
ORD20250260,2025-09-09,华中,家用电器,美的空调,天猫,36-45,4,3135.71,12542.84,0
ORD20250261,2025-11-11,华北,图书文娱,《三体》全集,京东,18-25,1,143.63,143.63,0
ORD20250262,2026-06-17,东北,家用电器,小米电视,线下门店,18-25,3,1016.31,3048.93,0
ORD20250263,2026-02-08,华北,食品生鲜,阳澄湖大闸蟹,抖音,26-35,2,131.07,262.14,0
ORD20250264,2025-12-01,华东,服饰鞋包,优衣库卫衣,线下门店,26-35,3,744.53,2233.59,0
ORD20250265,2025-06-18,华南,食品生鲜,三只松鼠坚果,京东,26-35,1,39.53,39.53,0
ORD20250266,2025-04-03,西南,美妆个护,完美日记口红,抖音,18-25,3,430.67,1292.01,0
